paper_id;name;year
17345652;Order;2002
17399337;Journal of Automata, Languages and Combinatorics;2009
17399600;Annales Des Télécommunications;2002
17415252;Computing;1983
17483472;Procesamiento Del Lenguaje Natural;2008
17488683;Foundations of Computational Mathematics;2001
17538067;Iet Communications;2010
17548503;Journal of Digital Information;2004
17568893;Informing Science The International Journal of an Emerging Transdiscipline;2002
17578033;Advances in intelligent systems and computing;2015
17594303;Mathematical Programming;2000
17598063;Discrete Optimization;2016
17682891;Artificial Intelligence;1990
17752691;Journal of Universal Computer Science;2003
17781355;Wireless Personal Communications;1997
17818985;Praxis Der Wirtschaftsinformatik;2013
17898807;Quantum Information & Computation;2013
17927550;Communications of The Ais;2002
17929806;Journal of the American Medical Informatics Association;2013
17948340;International Journal of Computers Communications & Control;2008
18030132;Computing;1994
18089031;Distributed and Parallel Databases;1999
18120132;Computing;1989
18221980;Computing;1974
18342635;Management Information Systems Quarterly;2012
18388472;Journal of Intelligent and Robotic Systems;2003
18422038;Journal of Intelligent and Robotic Systems;2003
18476074;Ars Combinatoria;2004
18495876;Studies in health technology and informatics;2013
18506490;Informatics in education;2006
18554628;IEEE Data(base) Engineering Bulletin;2009
18565426;Annals of Operations Research;2000
18595869;Neural, Parallel & Scientific Computations archive;2001
18637838;Neurocomputing;2016
18667630;Journal of Social Structure;2000
18743480;International Journal of Digital Content Technology and Its Applications;2008
18798145;Science in China Series F: Information Sciences;2001
18845368;Annals of Operations Research;1998
19117303;Annals of Operations Research;2001
19175767;Asymptotic Analysis;2008
19186523;Annals of Operations Research;2001
19220423;Computing;1993
19229485;Distributed and Parallel Databases;2003
19233156;Wirtschaftsinformatik und Angewandte Informatik;2002
19253416;Advances in Computers;2012
19257746;Theoretical Computer Science;2012
19258745;Psychnology Journal;2004
19301960;Journal of Information, Law and Technology;2008
19363943;Nordic Journal of Computing;1996
19382891;Order;1999
19431818;Science in China Series F: Information Sciences;2015
19440407;Journal of Computational and Applied Mathematics;2017
19447940;Computing;1986
19500197;Distributed and Parallel Databases;2001
19510325;Annales Des Télécommunications;2000
19520082;Communications of The Ais;2005
19578716;Journal of Intelligent Manufacturing;1998
19595943;Communications of The Ais;2007
19621769;Journal of Global Optimization;2003
19671530;Computing;1987
19680847;Studies in health technology and informatics;2004
19736502;Informatica (lithuanian Academy of Sciences);2007
19807878;IACR Cryptology ePrint Archive;2004
19817413;Elektrotechnik Und Informationstechnik;2008
19821332;International Journal of Computers Communications & Control;2008
19833181;Order;1999
19899994;IACR Cryptology ePrint Archive;2005
19933207;Computing;1992
19949041;Management Information Systems Quarterly;1987
19955532;IACR Cryptology ePrint Archive;2005
19991105;Information Security Technical Report;2006
20026804;Annals of Operations Research;2002
20057871;IFAC Proceedings Volumes;2001
20058877;Electronic Colloquium on Computational Complexity;2003
20092704;Wirtschaftsinformatik und Angewandte Informatik;2007
20161663;Journal of Intelligent and Fuzzy Systems;2002
20196638;Wireless Networks;1997
20223991;Journal of Advanced Computational Intelligence and Intelligent Informatics;2006
20244218;Advances in Computational Mathematics;2002
20268570;Annals of Operations Research;2001
20339587;Presence: Teleoperators & Virtual Environments;1994
20342462;Computers and The Humanities;2000
20362202;Journal of Intelligent Manufacturing;2003
20368507;Journal of Intelligent Manufacturing;2001
20372564;Computing;1977
20415505;Neural, Parallel & Scientific Computations archive;2002
20505969;Communications of The Ais;1999
20558287;Computing;1986
20613966;Journal of Intelligent Manufacturing;1999
20693525;Journal of Multimedia;2006
20760332;Annales Des Télécommunications;2001
20831642;Applied Categorical Structures;2003
20892776;Communications of The Ais;2014
20914128;Advances in Computational Mathematics;2004
20935243;Journal of Electronic Testing;1999
21004114;Mathematical Methods of Operations Research;1999
21022688;Journal of Multimedia;2010
21025594;International Journal of Parallel Programming;2003
21026852;Intelligence/sigart Bulletin;1987
21081268;Computers and The Humanities;2000
21167055;Empirical Software Engineering;1997
21171735;Journal of Computer Science and Technology;2012
21172740;International Journal of Wireless Information Networks;2001
21207210;Journal of Machine Learning Research;2012
21261423;Electronic Colloquium on Computational Complexity;2010
21302644;Annals of Operations Research;2000
21325108;Annales Des Télécommunications;2007
21387639;Annals of Operations Research;1997
21397011;International Journal of Wireless Information Networks;2000
21400906;Computing Systems;1990
21405553;Management Information Systems Quarterly;2012
21408603;Journal of Intelligent Manufacturing;1998
21455059;Management Information Systems Quarterly;2001
21470965;Advances in Computational Mathematics;2000
21492475;Electronic Commerce Research and Applications;2013
21499675;Numerical Algorithms;1998
21537352;Information & Computation;2017
21554125;Journal of Global Optimization;2003
21576406;Management Information Systems Quarterly;2013
21599982;Annals of Operations Research;2001
21611923;Computing;1970
21641531;Autonomous Agents and Multi-Agent Systems;2003
21697287;Synthese;2001
21724292;Information-Knowledge-Systems Management archive;1999
21735963;Journal of Artificial Intelligence Research;2014
21776751;Presence: Teleoperators & Virtual Environments;1995
21798749;Communications of The Ais;2002
21826772;Transactions on Data Privacy;2012
21828091;Annals of Operations Research;2000
21829889;Theoretical Computer Science;1999
22002794;Nordic Journal of Computing;1995
22120859;Annales Des Télécommunications;2005
22126326;Computing;1983
22247773;Synthese;2001
22272193;Journal of Global Optimization;2000
22316296;Computing and Informatics / Computers and Artificial Intelligence;2002
22326384;Journal of Web Engineering;2007
22352334;Journal of Intelligent Manufacturing;2001
22462089;Wireless Networks;1998
22478750;The Journal of information and systems in education;2019
22527517;Designs, Codes and Cryptography;2003
22593379;IFAC Proceedings Volumes;2003
22659582;Annals of Operations Research;2001
22660658;Numerical Algorithms;1999
22671108;Journal of Global Optimization;2003
22729445;Cognitive Science;2013
22745672;Pattern Recognition;1987
22768365;Journal of Intelligent Manufacturing;2002
22774175;Information Systems and E-business Management;2003
22831546;Journal of Universal Computer Science;2010
22839636;Wireless Personal Communications;2000
22886547;Artificial Intelligence Review;2003
22903142;Annals of Operations Research;2000
22904850;Journal of Multimedia;2006
22934449;Lecture Notes in Computer Science;2011
22972424;Computing;1993
23000000;Journal of Intelligent Manufacturing;1998
23050290;Computing;1988
23080180;Annals of Operations Research;2003
23111623;Annals of Operations Research;2014
23112316;Journal of Intelligent Manufacturing;2000
23116902;Journal of Electronic Testing;1999
23142473;Advances in Computational Mathematics;2001
23158330;Journal of Electronic Testing;2000
23200471;Computer Science - Research and Development;2012
23214346;Advances in Computers;2007
23239493;International Journal on It/business Alignment and Governance;2013
23244454;Mathematics of Control, Signals, and Systems;2001
23259920;Annals of Operations Research;1997
23264031;Annals of Operations Research;2002
23421786;Annals of Operations Research;2003
23529815;Communications of The Ais;2003
23576045;Presence: Teleoperators & Virtual Environments;1997
23674635;Information Processing Letters;1996
23710080;Reliable Computing;1996
23780305;Mathematics of Control, Signals, and Systems;1988
23799221;Science in China Series F: Information Sciences;2015
23938314;Communications of The Ais;2008
24033158;International Journal of Speech Technology;2000
24033664;Information Technology & People;2005
24094563;International Journal of Network Security;2008
24191510;Computing;1986
24268721;Communications of The Ais;2012
24357746;Advances in Computers;1983
24364388;Signal Processing;1992
24393008;Computing;1984
24418085;SIAM Journal on Numerical Analysis;2016
24438086;Journal of Web Engineering;2005
24442259;Computing;1987
24464851;International Journal of Software and Informatics;2009
24524376;International Journal of General Systems;2017
24544081;Journal of Machine Learning Research;2013
24572603;Engineering Letters;2006
24625448;Wireless Personal Communications;2000
24636605;ACM Transactions on Algorithms;2017
24638907;Computing;1990
24640678;Lecture Notes in Computer Science;2012
24658438;Communications of The Ais;2000
24674328;International Journal of Computers Communications & Control;2008
24726479;Annales Des Télécommunications;2001
24762504;Management Information Systems Quarterly;2014
24765167;Journal of the American Medical Informatics Association;2001
24773904;Annals of Operations Research;2001
24812747;Fundamenta Informaticae;2011
24882511;Presence: Teleoperators & Virtual Environments;1997
24948527;Applied Mathematics and Computation;2008
25008043;Reliable Computing;2003
25019770;Journal of Global Optimization;2003
25085825;Journal of Global Optimization;2000
25145971;Telecommunication Systems;2003
25207836;Journal of Universal Computer Science;2006
25216847;Electronic Colloquium on Computational Complexity;2011
25287847;Genetic Programming and Evolvable Machines;2003
25321545;Designs, Codes and Cryptography;2003
25357132;Journal of Integrated Design & Process Science archive;2004
25457782;Journal of Global Optimization;1997
25499518;OR Spectrum;2003
25532440;Journal of Universal Computer Science;1997
25589648;Neural, Parallel & Scientific Computations archive;2005
25755239;Künstliche Intelligenz;2012
25794323;Integrated Computer-aided Engineering;2006
25827857;Synthese;2001
26047137;Reliable Computing;2003
26049704;Journal of Computational Design and Engineering;2015
26088913;Journal of Computational Physics;2015
26132446;Discrete Mathematics & Theoretical Computer Science;2014
26171437;International Journal of Speech Technology;2003
26214791;Photonic Network Communications;2001
26278784;Computing;1981
26303559;Order;2003
26314658;Annals of Operations Research;2003
26326129;Information Processing Letters;1995
26333220;Pacific Asia journal of the Association for Information systems;2014
26388196;Computing;1989
26394298;Studies in health technology and informatics;2004
26437978;Fundamenta Informaticae;2007
26471643;Queueing Systems;2003
26484216;Management Information Systems Quarterly;2014
26498519;International Journal of Network Security;2008
26549463;IEEE Transactions on Very Large Scale Integration Systems;2016
26597807;Management Science;2018
26618507;Journal of Web Engineering;2012
26707179;Numerical Algorithms;1997
26712266;Journal of Intelligent Manufacturing;1999
26753741;SIAM Journal on Computing;1985
26773118;Annales Des Télécommunications;2004
26845927;Digital Humanities Quarterly;2009
26854310;Computing;1984
27050043;Telecommunication Systems;2003
27087772;Annales Des Télécommunications;2006
27088446;Annals of Operations Research;2000
27088708;Journal of Electronic Testing;1999
27119791;Wirtschaftsinformatik und Angewandte Informatik;2007
27142857;Annals of Operations Research;2003
27201465;International Journal of Wireless Information Networks;2003
27217484;NeuroImage;2011
27236945;Journal of Global Optimization;1998
27378168;Information Processing Letters;1992
27434444;Journal of Machine Learning Research;2010
27471873;Computing;1972
